RunNumber,BeamEnergy,Threshold,GearGeoFile

000688,4.8,6.0,gear_desy2012_150mm_fei4
000689,4.8,6.0,gear_desy2012_150mm_fei4
000690,4.8,6.0,gear_desy2012_150mm_fei4
000691,4.8,6.0,gear_desy2012_150mm_fei4
000692,4.8,6.0,gear_desy2012_150mm_fei4
000693,4.8,6.0,gear_desy2012_150mm_fei4
000694,4.8,6.0,gear_desy2012_150mm_fei4
000695,4.8,6.0,gear_desy2012_150mm_fei4
000696,4.8,6.0,gear_desy2012_150mm_fei4
000698,4.8,6.0,gear_desy2012_150mm_fei4
000701,4.8,6.0,gear_desy2012_150mm_fei4
000702,4.8,6.0,gear_desy2012_150mm_fei4
000703,4.8,6.0,gear_desy2012_150mm_fei4
000816,4.8,6.0,gear_desy2012_150mm_fei4
000817,4.8,6.0,gear_desy2012_150mm_fei4

